Name,Set,Card Number,Color,Rarity,Card Type,Property
Ursula - Power Hungry,1,59,Amethyst,Legendary,Character,Little Mermaid
Yzma - Alchemist,1,60,Amethyst,Common,Character,Emperor's New Groove
Zeus - God of Lightning,1,61,Amethyst,Rare,Character,Hercules
Aladdin - Prince Ali,1,69,Emerald,Common,Character,Beauty and the Beast
Beast - Wolfsbane,1,70,Emerald,Legendary,Character,Beauty and the Beast
Cheshire Cat - Not All There,1,71,Emerald,Uncommon,Character,101 Dalmatians
Cruella De Vil - Miserable as Usual,1,72,Emerald,Rare,Character,101 Dalmatians
Duke of Weselton - Opportunistic Official,1,73,Emerald,Common,Character,Frozen
Flynn Rider - Charming Rogue,1,74,Emerald,Uncommon,Character,Tangled
Genie - On the Job,1,75,Emerald,Super Rare,Character,Aladdin
Genie - Powers Unleashed,1,76,Emerald,Rare,Character,Aladdin
Genie - The Ever Impressive,1,77,Emerald,Common,Character,Aladdin
Hans - Scheming Prince,1,78,Emerald,Rare,Character,Frozen
Horace - No-Good Scoundrel,1,79,Emerald,Common,Character,101 Dalmatians
Iago - Loud-Mouthed Parrot,1,80,Emerald,Rare,Character,Aladdin
Jasper - Common Crook,1,81,Emerald,Uncommon,Character,101 Dalmatians
John Silver - Alien Pirate,1,82,Emerald,Legendary,Character,Treasure Planet
Jumba Jookiba - Renegade Scientist,1,83,Emerald,Uncommon,Character,Lilo and Stitch
Kuzco - Temperamental Emperor,1,84,Emerald,Rare,Character,Emperor's New Groove
Lady Tremaine - Wicked Stepmother,1,85,Emerald,Rare,Character,Cinderella
Mad Hatter - Gracious Host,1,86,Emerald,Uncommon,Character,Alice in Wonderland
Megara - Pulling the Strings,1,87,Emerald,Common,Character,Hercules
Mickey Mouse - Artful Rogue,1,88,Emerald,Super Rare,Character,Classic Disney
Mickey Mouse - Steamboat Pilot,1,89,Emerald,Common,Character,Classic Disney
Mother Gothel - Selfish Manipulator,1,90,Emerald,Super Rare,Character,Tangled
Peter Pan - Never Landing,1,91,Emerald,Common,Character,Peter Pan
Tamatoa - Drab Little Crab,1,92,Emerald,Uncommon,Character,Moana
Tinker Bell - Most Helpful,1,93,Emerald,Common,Character,Peter Pan
Abu - Mischievous Monkey,1,103,Ruby,Common,Character,Aladdin
Aladdin - Heroic Outlaw,1,104,Ruby,Super Rare,Character,Aladdin
Aladdin - Street Rat,1,105,Ruby,Common,Character,Aladdin
Captain - Colonel's Lieutenant,1,106,Ruby,Uncommon,Character,101 Dalmatians
Captain Hook - Ruthless Pirate,1,107,Ruby,Rare,Character,Peter Pan
Donald Duck - Boisterous Fowl,1,108,Ruby,Uncommon,Character,Classic Disney
Elsa - Ice Surfer,1,109,Ruby,Common,Character,Frozen
Gaston - Arrogant Hunter,1,110,Ruby,Common,Character,Beauty and the Beast
Goofy - Daredevil,1,111,Ruby,Common,Character,Classic Disney
LeFou - Instigator,1,112,Ruby,Rare,Character,Beauty and the Beast
Maleficent - Monstrous Dragon,1,113,Ruby,Legendary,Character,Sleeping Beauty
Maui - Hero to All,1,114,Ruby,Rare,Character,Moana
Mickey Mouse - Brave Little Tailor,1,115,Ruby,Legendary,Character,Classic Disney
Minnie Mouse - Always Classy,1,116,Ruby,Common,Character,Classic Disney
Moana - Chosen by the Ocean,1,117,Ruby,Uncommon,Character,Moana
Mulan - Imperial Soldier,1,118,Ruby,Super Rare,Character,Mulan
Peter Pan - Fearless Fighter,1,119,Ruby,Common,Character,Peter Pan
Pongo - Ol' Rascal,1,120,Ruby,Common,Character,101 Dalmatians
Rapunzel - Letting Down Her Hair,1,121,Ruby,Uncommon,Character,Tangled
Scar - Fiery Usurper,1,122,Ruby,Common,Character,Lion King
Scar - Shameless Firebrand,1,123,Ruby,Rare,Character,Lion King
Sergeant Tibbs - Courageous Cat,1,124,Ruby,Common,Character,101 Dalmatians
Stitch - Abomination,1,125,Ruby,Rare,Character,Lilo and Stitch
Te Kā - The Burning One,1,126,Ruby,Super Rare,Character,Moana
Tigger - Wonderful Thing,1,127,Ruby,Uncommon,Character,Winnie the Pooh
Ariel - Whoseit Collector,1,137,Sapphire,Rare,Character,Little Mermaid
Aurora - Briar Rose,1,138,Sapphire,Common,Character,Sleeping Beauty
Aurora - Dreaming Guardian,1,139,Sapphire,Super Rare,Character,Sleeping Beauty
Aurora - Regal Princess,1,140,Sapphire,Uncommon,Character,Sleeping Beauty
Belle - Inventive Engineer,1,141,Sapphire,Uncommon,Character,Beauty and the Beast
Belle - Strange but Special,1,142,Sapphire,Legendary,Character,Beauty and the Beast
Chief Tui - Respected Leader,1,143,Sapphire,Uncommon,Character,Moana
Donald Duck - Strutting His Stuff,1,144,Sapphire,Common,Character,Classic Disney
Flounder - Voice of Reason,1,145,Sapphire,Common,Character,Little Mermaid
Gramma Tala - Storyteller,1,146,Sapphire,Uncommon,Character,Moana
Hades - Infernal Schemer,1,147,Sapphire,Legendary,Character,Hercules
Jasmine - Disguised,1,148,Sapphire,Common,Character,Aladdin
Jasmine - Queen of Agrabah,1,149,Sapphire,Rare,Character,Aladdin
Maleficent - Sinister Visitor,1,150,Sapphire,Common,Character,Sleeping Beauty
Maleficent - Uninvited,1,151,Sapphire,Rare,Character,Sleeping Beauty
Maurice - World-Famous Inventor,1,152,Sapphire,Rare,Character,Beauty and the Beast
Merlin - Self-Appointed Mentor,1,153,Sapphire,Common,Character,Sword in the Stone
Mickey Mouse - Detective,1,154,Sapphire,Common,Character,Classic Disney
Mufasa - King of the Pride Lands,1,155,Sapphire,Common,Character,Lion King
Philoctetes - Trainer of Heroes,1,156,Sapphire,Common,Character,Hercules
Robin Hood - Unrivaled Archer,1,157,Sapphire,Super Rare,Character,Robin Hood
Scar - Mastermind,1,158,Sapphire,Rare,Character,Lion King
Tamatoa - So Shiny!,1,159,Sapphire,Super Rare,Character,Moana
Triton - The Sea King,1,160,Sapphire,Uncommon,Character,Little Mermaid
Aladdin - Cornered Swordsman,1,171,Steel,Common,Character,Aladdin
Beast - Hardheaded,1,172,Steel,Uncommon,Character,Beauty and the Beast
Captain Hook - Captain of the Jolly Roger,1,173,Steel,Rare,Character,Peter Pan
Captain Hook - Forceful Duelist,1,174,Steel,Common,Character,Peter Pan
Captain Hook - Thinking a Happy Thought,1,175,Steel,Rare,Character,Peter Pan
Cerberus - Three-Headed Dog,1,176,Steel,Common,Character,Hercules
Donald Duck - Musketeer,1,177,Steel,Uncommon,Character,Classic Disney
Gantu - Galactic Federation Captain,1,178,Steel,Legendary,Character,Lilo and Stitch
Goons - Maleficent's Underlings,1,179,Steel,Common,Character,Sleeping Beauty
Hans - Thirteenth in Line,1,180,Steel,Super Rare,Character,Frozen
Hercules - True Hero,1,181,Steel,Common,Character,Hercules
Kristoff - Official Ice Master,1,182,Steel,Common,Character,Frozen
Kronk - Right-Hand Man,1,183,Steel,Uncommon,Character,Emperor's New Groove
Lilo - Galactic Hero,1,184,Steel,Uncommon,Character,Lilo and Stitch
Maui - Demigod,1,185,Steel,Rare,Character,Moana
Mickey Mouse - Musketeer,1,186,Steel,Rare,Character,Classic Disney
Prince Eric - Dashing and Brave,1,187,Steel,Common,Character,Little Mermaid
Simba - Future King,1,188,Steel,Common,Character,Lion King
Simba - Returned King,1,189,Steel,Rare,Character,Lion King
Simba - Rightful Heir,1,190,Steel,Uncommon,Character,Lion King
Starkey - Hook's Henchman,1,191,Steel,Uncommon,Character,Peter Pan
Te Kā - Heartless,1,192,Steel,Legendary,Character,Moana
Tinker Bell - Giant Fairy,1,193,Steel,Super Rare,Character,Peter Pan
Tinker Bell - Tiny Tactician,1,194,Steel,Common,Character,Peter Pan
Bashful - Hopeless Romantic,2,1,Amber,Uncommon,Character,Snow White
Christopher Robin - Adventurer,2,2,Amber,Rare,Character,Winnie the Pooh
Cinderella - Ballroom Sensation,2,3,Amber,Rare,Character,Cinderella
Cobra Bubbles - Just a Social Worker,2,4,Amber,Rare,Character,Lilo and Stitch
Doc - Leader of the Seven Dwarfs,2,5,Amber,Uncommon,Character,Snow White
Dopey - Always Playful,2,6,Amber,Uncommon,Character,Snow White
Eudora - Accomplished Seamstress,2,7,Amber,Common,Character,Princess and the Frog
Gaston - Baritone Bully,2,8,Amber,Uncommon,Character,Beauty and the Beast
Grand Duke - Advisor to the King,2,9,Amber,Rare,Character,Cinderella
Grumpy - Bad-Tempered,2,10,Amber,Common,Character,Snow White
Happy - Good-Natured,2,11,Amber,Common,Character,Snow White
King Louie - Jungle VIP,2,12,Amber,Super Rare,Character,Jungle Book
Mickey Mouse - Friendly Face,2,13,Amber,Super Rare,Character,Classic Disney
Mufasa - Betrayed Leader,2,14,Amber,Legendary,Character,Lion King
Mulan - Free Spirit,2,15,Amber,Common,Character,Mulan
Mulan - Reflecting,2,16,Amber,Rare,Character,Mulan
Nana - Darling Family Pet,2,17,Amber,Uncommon,Character,Peter Pan
Piglet - Very Small Animal,2,18,Amber,Common,Character,Winnie the Pooh
Rapunzel - Gifted Artist,2,19,Amber,Uncommon,Character,Tangled
Rapunzel - Sunshine,2,20,Amber,Common,Character,Tangled
Sleepy - Nodding Off,2,21,Amber,Common,Character,Snow White
Sneezy - Very Allergic,2,22,Amber,Common,Character,Snow White
Snow White - Lost in the Forest,2,23,Amber,Common,Character,Snow White
Snow White - Unexpected Houseguest,2,24,Amber,Uncommon,Character,Snow White
Snow White - Well Wisher,2,25,Amber,Legendary,Character,Snow White
The Queen - Commanding Presence,2,26,Amber,Super Rare,Character,Snow White
The Queen - Regal Monarch,2,27,Amber,Common,Character,Snow White
Arthur - Wizard's Apprentice,2,35,Amethyst,Super Rare,Character,Sword in the Stone
Blue Fairy - Rewarding Good Deeds,2,36,Amethyst,Uncommon,Character,Pinocchio
Chip the Teacup - Gentle Soul,2,37,Amethyst,Common,Character,Beauty and the Beast
Dr. Facilier - Savvy Opportunist,2,38,Amethyst,Common,Character,Princess and the Frog
Elsa - Gloves Off,2,39,Amethyst,Common,Character,Frozen
Fairy Godmother - Here to Help,2,40,Amethyst,Uncommon,Character,Cinderella
Fairy Godmother - Mystic Armorer,2,41,Amethyst,Legendary,Character,Cinderella
Fairy Godmother - Pure Heart,2,42,Amethyst,Common,Character,Cinderella
HeiHei - Persistent Presence,2,43,Amethyst,Uncommon,Character,Moana
Jiminy Cricket - Pinocchio's Conscience,2,44,Amethyst,Common,Character,Pinocchio
Kuzco - Wanted Llama,2,45,Amethyst,Common,Character,Emperor's New Groove
Madam Mim - Fox,2,46,Amethyst,Rare,Character,Sword in the Stone
Madam Mim - Purple Dragon,2,47,Amethyst,Legendary,Character,Sword in the Stone
Madam Mim - Rival of Merlin,2,48,Amethyst,Rare,Character,Sword in the Stone
Madam Mim - Snake,2,49,Amethyst,Uncommon,Character,Sword in the Stone
Merlin - Crab,2,50,Amethyst,Common,Character,Sword in the Stone
Merlin - Goat,2,51,Amethyst,Uncommon,Character,Sword in the Stone
Merlin - Rabbit,2,52,Amethyst,Rare,Character,Sword in the Stone
Merlin - Shapeshifter,2,53,Amethyst,Rare,Character,Sword in the Stone
Merlin - Squirrel,2,54,Amethyst,Common,Character,Sword in the Stone
Peter Pan's Shadow - Not Sewn On,2,55,Amethyst,Super Rare,Character,Peter Pan
Pinocchio - Star Attraction,2,56,Amethyst,Rare,Character,Pinocchio
Pinocchio - On the Run,2,57,Amethyst,Uncommon,Character,Pinocchio
Pinocchio - Talkative Puppet,2,58,Amethyst,Uncommon,Character,Pinocchio
Winnie the Pooh - Hunny Wizard,2,59,Amethyst,Common,Character,Winnie the Pooh
Yzma - Scary Beyond All Reason,2,60,Amethyst,Super Rare,Character,Emperor's New Groove
Yzma - Without Beauty Sleep,2,61,Amethyst,Uncommon,Character,Emperor's New Groove
Arthur - Trained Swordsman,2,69,Emerald,Common,Character,Sword in the Stone
Beast - Relentless,2,70,Emerald,Legendary,Character,Beauty and the Beast
Belle - Bookworm,2,71,Emerald,Uncommon,Character,Beauty and the Beast
Belle - Hidden Archer,2,72,Emerald,Legendary,Character,Beauty and the Beast
Bucky - Squirrel Squeak Tutor,2,73,Emerald,Uncommon,Character,Emperor's New Groove
Cheshire Cat - Always Grinning,2,74,Emerald,Uncommon,Character,Alice in Wonderland
Cheshire Cat - From the Shadows,2,75,Emerald,Super Rare,Character,Alice in Wonderland
Daisy Duck - Secret Agent,2,76,Emerald,Uncommon,Character,Classic Disney
Donald Duck - Perfect Gentleman,2,77,Emerald,Uncommon,Character,Classic Disney
Donald Duck - Sleepwalker,2,78,Emerald,Common,Character,Classic Disney
Dr. Facilier - Fortune Teller,2,79,Emerald,Super Rare,Character,Princess and the Frog
Enchantress - Unexpected Judge,2,80,Emerald,Common,Character,Beauty and the Beast
Flynn Rider - Confident Vagabond,2,81,Emerald,Common,Character,Tangled
Flynn Rider - His Own Biggest Fan,2,82,Emerald,Rare,Character,Tangled
Gaston - Scheming Suitor,2,83,Emerald,Common,Character,Beauty and the Beast
Little John - Loyal Friend,2,84,Emerald,Rare,Character,Robin Hood
Lucifer - Cunning Cat,2,85,Emerald,Rare,Character,Cinderella
Pain - Underworld Imp,2,86,Emerald,Uncommon,Character,Hercules
Panic - Underworld Imp,2,87,Emerald,Common,Character,Hercules
Pete - Bad Guy,2,88,Emerald,Rare,Character,Classic Disney
Prince John - Greediest of All,2,89,Emerald,Rare,Character,Robin Hood
Queen of Hearts - Quick-Tempered,2,90,Emerald,Common,Character,Alice in Wonderland
Ratigan - Criminal Mastermind,2,91,Emerald,Common,Character,Great Mouse Detective
Ray - Easygoing Firefly,2,92,Emerald,Common,Character,Princess and the Frog
The Queen - Disguised Peddler,2,93,Emerald,Super Rare,Character,Snow White
Tiana - True Princess,2,94,Emerald,Uncommon,Character,Princess and the Frog
Virana - Fang Chief,2,95,Emerald,Common,Character,Raya and the Last Dragon
Baloo - Fun-Loving Bear,2,103,Ruby,Common,Character,Jungle Book
Boun - Precocious Entrepreneur,2,104,Ruby,Common,Character,Raya and the Last Dragon
Card Soldiers - Full Deck,2,105,Ruby,Uncommon,Character,Alice in Wonderland
Donald Duck - Not Again!,2,106,Ruby,Legendary,Character,Classic Disney
Felicia - Always Hungry,2,107,Ruby,Common,Character,Great Mouse Detective
Fidget - Ratigan's Henchman,2,108,Ruby,Common,Character,Great Mouse Detective
Honest John - Not That Honest,2,109,Ruby,Rare,Character,Robin Hood
Lady Tremaine - Imperious Queen,2,110,Ruby,Super Rare,Character,Cinderella
Lady Tremaine - Overbearing Matriarch,2,111,Ruby,Common,Character,Cinderella
Lumiere - Hotheaded Candelabra,2,112,Ruby,Rare,Character,Beauty and the Beast
Minnie Mouse - Stylish Surfer,2,113,Ruby,Uncommon,Character,Classic Disney
Minnie Mouse - Wide-Eyed Diver,2,114,Ruby,Rare,Character,Classic Disney
Minnie Mouse - Zipping Around,2,115,Ruby,Common,Character,Classic Disney
Mother Gothel - Withered and Wicked,2,116,Ruby,Uncommon,Character,Tangled
Mulan - Soldier in Training,2,117,Ruby,Common,Character,Mulan
Namaari - Nemesis,2,118,Ruby,Super Rare,Character,Raya and the Last Dragon
Queen of Hearts - Impulsive Ruler,2,119,Ruby,Uncommon,Character,Alice in Wonderland
Queen of Hearts - Sensing Weakness,2,120,Ruby,Uncommon,Character,Alice in Wonderland
Ratigan - Very Large Mouse,2,121,Ruby,Rare,Character,Great Mouse Detective
Raya - Headstrong,2,122,Ruby,Common,Character,Raya and the Last Dragon
Raya - Leader of Heart,2,123,Ruby,Super Rare,Character,Raya and the Last Dragon
Raya - Warrior of Kumandra,2,124,Ruby,Uncommon,Character,Raya and the Last Dragon
Scar - Vicious Cheater,2,125,Ruby,Legendary,Character,Lion King
Shere Khan - Menacing Predator,2,126,Ruby,Rare,Character,Jungle Book
Tigger - One of a Kind,2,127,Ruby,Common,Character,Winnie the Pooh
Tuk Tuk - Wrecking Ball,2,128,Ruby,Rare,Character,Raya and the Last Dragon
Alice - Growing Girl,2,137,Sapphire,Legendary,Character,Alice in Wonderland
Basil - Great Mouse Detective,2,138,Sapphire,Super Rare,Character,Great Mouse Detective
Basil - Of Baker Street,2,139,Sapphire,Common,Character,Great Mouse Detective
Basil - Perceptive Investigator,2,140,Sapphire,Common,Character,Great Mouse Detective
Caterpillar - Calm and Collected,2,141,Sapphire,Uncommon,Character,Alice in Wonderland
Cogsworth - Grandfather Clock,2,142,Sapphire,Super Rare,Character,Beauty and the Beast
Cogsworth - Talking Clock,2,143,Sapphire,Uncommon,Character,Beauty and the Beast
Cruella De Vil - Fashionable Cruiser,2,144,Sapphire,Common,Character,101 Dalmatians
Cruella De Vil - Perfectly Wretched,2,145,Sapphire,Uncommon,Character,101 Dalmatians
Duke Weaselton - Small-Time Crook,2,146,Sapphire,Common,Character,Zootopia
Gaston - Intellectual Powerhouse,2,147,Sapphire,Rare,Character,Beauty and the Beast
Grand Pabbie - Oldest and Wisest,2,148,Sapphire,Super Rare,Character,Frozen
Hiram Flaversham - Toymaker,2,149,Sapphire,Rare,Character,Great Mouse Detective
James - Role Model,2,150,Sapphire,Common,Character,Princess and the Frog
Jasmine - Heir of Agrabah,2,151,Sapphire,Common,Character,Aladdin
Judy Hopps - Optimistic Officer,2,152,Sapphire,Uncommon,Character,Zootopia
Mrs. Judson - Housekeeper,2,153,Sapphire,Rare,Character,Great Mouse Detective
Nick Wilde - Wily Fox,2,154,Sapphire,Uncommon,Character,Zootopia
Noi - Orphaned Thief,2,155,Sapphire,Rare,Character,Raya and the Last Dragon
Owl - Logical Lecturer,2,156,Sapphire,Common,Character,Winnie the Pooh
Prince Charming - Heir to the Throne,2,157,Sapphire,Rare,Character,Cinderella
Rabbit - Reluctant Host,2,158,Sapphire,Common,Character,Winnie the Pooh
Sisu - Divine Water Dragon,2,159,Sapphire,Legendary,Character,Raya and the Last Dragon
The Nokk - Water Spirit,2,160,Sapphire,Common,Character,Frozen
Winnie the Pooh - Having a Think,2,161,Sapphire,Rare,Character,Winnie the Pooh
Beast - Forbidding Recluse,2,171,Steel,Common,Character,Beauty and the Beast
Beast - Selfless Protector,2,172,Steel,Super Rare,Character,Beauty and the Beast
Beast - Tragic Hero,2,173,Steel,Legendary,Character,Beauty and the Beast
Benja - Guardian of the Dragon Gem,2,174,Steel,Common,Character,Raya and the Last Dragon
Chief Bogo - Respected Officer,2,175,Steel,Rare,Character,Zootopia
Cinderella - Knight in Training,2,176,Steel,Common,Character,Cinderella
Cinderella - Stouthearted,2,177,Steel,Super Rare,Character,Cinderella
Donald Duck - Deep-Sea Diver,2,178,Steel,Common,Character,Classic Disney
Eli La Bouff - Big Daddy,2,179,Steel,Uncommon,Character,Princess and the Frog
Goofy - Knight for a Day,2,180,Steel,Rare,Character,Classic Disney
Hercules - Divine Hero,2,181,Steel,Rare,Character,Hercules
Hercules - Hero in Training,2,182,Steel,Common,Character,Hercules
Jafar - Dreadnought,2,183,Steel,Uncommon,Character,Aladdin
Jafar - Royal Vizier,2,184,Steel,Common,Character,Aladdin
Kronk - Junior Chipmunk,2,185,Steel,Rare,Character,Emperor's New Groove
Lawrence - Jealous Manservant,2,186,Steel,Uncommon,Character,Princess and the Frog
Li Shang - Archery Instructor,2,187,Steel,Uncommon,Character,Mulan
Magic Broom - Industrial Model,2,188,Steel,Common,Character,Fantasia
Namaari - Morning Mist,2,189,Steel,Legendary,Character,Raya and the Last Dragon
Pacha - Village Leader,2,190,Steel,Uncommon,Character,Emperor's New Groove
Prince Naveen - Penniless Royal,2,191,Steel,Common,Character,Princess and the Frog
Queen of Hearts - Capricious Monarch,2,192,Steel,Rare,Character,Alice in Wonderland
Robin Hood - Capable Fighter,2,193,Steel,Uncommon,Character,Robin Hood
The Huntsman - Reluctant Enforcer,2,194,Steel,Rare,Character,Snow White
The Prince - Never Gives Up,2,195,Steel,Uncommon,Character,Snow White
Tiana - Celebrating Princess,2,196,Steel,Super Rare,Character,Princess and the Frog
Tiana - Diligent Waitress,2,197,Steel,Common,Character,Princess and the Frog
Baloo - von Bruinwald XIII,3,1,Amber,Rare,Character,TaleSpin
Bernard - Brand-New Agent,3,2,Amber,Rare,Character,Rescuers
Chernabog - Evildoer,3,3,Amber,Super Rare,Character,Fantasia
Dalmatian Puppy - Tail Wagger,3,4a,Amber,Common,Character,101 Dalmatians
Dalmatian Puppy - Tail Wagger,3,4b,Amber,Common,Character,101 Dalmatians
Dalmatian Puppy - Tail Wagger,3,4c,Amber,Common,Character,101 Dalmatians
Dalmatian Puppy - Tail Wagger,3,4d,Amber,Common,Character,101 Dalmatians
Dalmatian Puppy - Tail Wagger,3,4e,Amber,Common,Character,101 Dalmatians
Joshua Sweet - The Doctor,3,5,Amber,Common,Character,Atlantis
Kida - Atlantean,3,6,Amber,Common,Character,Atlantis
Kida - Protector of Atlantis,3,7,Amber,Legendary,Character,Atlantis
Lucky - The 15th Puppy,3,8,Amber,Rare,Character,101 Dalmatians
Minnie Mouse - Musical Artist,3,9,Amber,Rare,Character,Classic Disney
Miss Bianca - Rescue Aid Society Agent,3,10,Amber,Common,Character,Rescuers
Mr. Snoops - Inept Businessman,3,11,Amber,Common,Character,Rescuers
Nani - Protective Sister,3,12,Amber,Uncommon,Character,Lilo and Stitch
Orville - Ace Pilot,3,13,Amber,Common,Character,Rescuers
Patch - Intimidating Pup,3,14,Amber,Common,Character,101 Dalmatians
Perdita - Devoted Mother,3,15,Amber,Legendary,Character,101 Dalmatians
Piglet - Pooh Pirate Captain,3,16,Amber,Super Rare,Character,Winnie the Pooh
Pluto - Determined Defender,3,17,Amber,Rare,Character,Classic Disney
Pluto - Friendly Pooch,3,18,Amber,Uncommon,Character,Classic Disney
Pongo - Determined Father,3,19,Amber,Super Rare,Character,101 Dalmatians
Queen of Hearts - Wonderland Empress,3,20,Amber,Uncommon,Character,Alice in Wonderland
Rolly - Hungry Pup,3,21,Amber,Uncommon,Character,101 Dalmatians
Tinker Bell - Generous Fairy,3,22,Amber,Uncommon,Character,Peter Pan
Wendy Darling - Talented Sailor,3,23,Amber,Uncommon,Character,Peter Pan
Alice - Tea Alchemist,3,35,Amethyst,Super Rare,Character,Alice in Wonderland
Chernabog's Followers - Creatures of Evil,3,36,Amethyst,Uncommon,Character,Fantasia
Diablo - Faithful Pet,3,37,Amethyst,Common,Character,Sleeping Beauty
Genie - Supportive Friend,3,38,Amethyst,Super Rare,Character,Aladdin
Hydros - Ice Titan,3,39,Amethyst,Uncommon,Character,Hercules
Iago - Pretty Polly,3,40,Amethyst,Common,Character,Aladdin
Jafar - Lamp Thief,3,41,Amethyst,Uncommon,Character,Aladdin
Jafar - Striking Illusionist,3,42,Amethyst,Legendary,Character,Aladdin
Lena Sabrewing - Rebellious Teenager,3,43,Amethyst,Common,Character,DuckTales
Magic Broom - Dancing Duster,3,44,Amethyst,Uncommon,Character,Fantasia
Magic Broom - Swift Cleaner,3,45,Amethyst,Common,Character,Fantasia
Magic Broom - The Big Sweeper,3,46,Amethyst,Common,Character,Fantasia
Magic Carpet - Flying Rug,3,47,Amethyst,Common,Character,Aladdin
Magica De Spell - Ambitious Witch,3,48,Amethyst,Common,Character,DuckTales
Magica De Spell - The Midas Touch,3,49,Amethyst,Super Rare,Character,DuckTales
Magica De Spell - Thieving Sorceress,3,50,Amethyst,Uncommon,Character,DuckTales
Maleficent - Mistress of All Evil,3,51,Amethyst,Legendary,Character,Sleeping Beauty
Mama Odie - Voice of Wisdom,3,52,Amethyst,Uncommon,Character,Princess and the Frog
Pua - Potbellied Buddy,3,53,Amethyst,Common,Character,Moana
Rafiki - Mystical Fighter,3,54,Amethyst,Rare,Character,Lion King
Stratos - Tornado Titan,3,55,Amethyst,Rare,Character,Hercules
The Firebird - Force of Destruction,3,56,Amethyst,Common,Character,Fantasia
The Queen - Hateful Rival,3,57,Amethyst,Common,Character,Snow White
Treasure Guardian - Protector of the Cave,3,58,Amethyst,Rare,Character,Aladdin
Ursula - Sea Witch,3,59,Amethyst,Rare,Character,Little Mermaid
Cubby - Mighty Lost Boy,3,69,Emerald,Common,Character,Peter Pan
Cursed Merfolk - Ursula's Handiwork,3,70,Emerald,Rare,Character,Little Mermaid
Don Karnage - Prince of Pirates,3,71,Emerald,Common,Character,TaleSpin
